,ParticipantID,id,userid,text,annotation_date,annotation,time
0,22334,1,ff901930a5eaba2dc939d40571f51bb5,Is tired of life. I'm tired of always being blamed when I'm not the  only guilty party. I am tired of being treated like everything was my  fault because I'm the oldest. And I'm speaking aabout yesterday,,0,2010-05-18 20:55:03
1,44553,2,ff901930a5eaba2dc939d40571f51bb5,I'm home and happy to be back. already busy with hanging out again but will make time for family later on today.,,0,2010-07-31 19:57:07
2,33442,3,ff901930a5eaba2dc939d40571f51bb5,I'm fucking done. I don't need this type of shit in my life. If people don't grow up and stop controlling other things because of something that has happened to them then someone please help them.,,0,2010-03-23 23:57:39
3,22334,4,ff901930a5eaba2dc939d40571f51bb5,"Dad's home for a month, he's going to be there for my 18th birthday, and this is the longest I've get to see him since March of last year, not to mention Outdoor School, so why do I feel like I'm missing something?",,0,2011-03-31 4:19:44
4,33442,5,ff901930a5eaba2dc939d40571f51bb5,"*sighs* I just want to go home...sorta. There's a lot of drama that I don't miss, but you can't have your icing if you want the cake... (or something like that....)",,0,2009-08-29 21:25:34
5,33442,6,ff901930a5eaba2dc939d40571f51bb5,"Morning, everyone. Today's going to be blah with a hot steaming side of rawr. Your choice of drink today is either bored to death or extreme frustration.",,0,2011-03-16 14:56:43
6,33442,7,ff901930a5eaba2dc939d40571f51bb5,"I'm attempting to join the Marine Corps, all that I need to do is hand over some documents and take a few tests and then go from there. One of the greatest things I already like about the Corps is the honesty and openess I saw today.",,0,2010-10-23 1:43:59
7,22334,8,ff901930a5eaba2dc939d40571f51bb5,I was just now told I looked like a vampyre by a kindergartener. I thought it was cute and amazing. I took it as a compliment. :),,0,2011-03-04 17:59:38
8,44553,9,ff901930a5eaba2dc939d40571f51bb5,"i get to go to my aunt's house for part of this weekend, i get out of school tomorrow, i might be able to stay the night at a friend's house, and hopefully try to enjoy this summer break...",,0,2009-06-17 20:16:20
9,44553,10,ff901930a5eaba2dc939d40571f51bb5,"Went to the doctor's today. she told me that I had a whiplash and that I might have a concussion and that it'll take a while for my brain to heal from the bruise. As she put it in much nicer words, I'm going to be temporarilly stupid. Told my mother that and she laughed for five minutes straight.",,0,2011-03-04 4:48:37
10,22334,11,ff901930a5eaba2dc939d40571f51bb5,"Don't even think of fucking pissing me off today. I will not react right. Keith Alverez, if you see this, fuck off his phone.",,0,2011-02-03 15:10:28
