id,userid,post_count,text,post_time
1,f8708568eff1535c85247b28dc126f9b,162,Hates dancing...,04/04/2011 16:09
2,f8708568eff1535c85247b28dc126f9b,162,Fucking dance lift!,04/04/2011 16:47
3,3ac58ad39d81acfe169aadc4815effe6,62,It's frustrating when one little thing a person says won't stop spinning around and around in your head afterwords.,01/02/2011 19:37
4,5cc136477bfe3fcfe809dc451e4243ef,69,Is at one of those points where you just feel like your entire life is boring the hell out of you. Not sure what to do about it at this point.,03/03/2011 22:36
5,0724fe854bd455061ba84efecdeff469,64,Status: hysterical. Subject's mind seems to have endured an excessive amount of stress and could not stand the pressure of it. Diagnosis: unknown.,09/01/2011 01:30
6,0724fe854bd455061ba84efecdeff469,64,Status: enraged. Subject's temper has gone wild due to certain issues with relatives. Diagnosis: unknown.,16/01/2011 23:09
7,0724fe854bd455061ba84efecdeff469,64,Status: in deep brooding session. Subject seems to be thinking deeply of the meaning of his latest dreams. Diagnosis: unknown.,29/01/2011 20:04
8,0c5d06511ef79fba34da417e8c751fff,33,"I have Friday stuck in my head, and it WILL NOT leave......I have been blasting Cradle of Filth for the past HOUR and it's STILL THERE.....somebody PLEASE SHOOT ME D:",02/04/2011 00:51
9,1789589a6d2bba0f09d768f8f3445be5,50,The things that my parents say kinda gets to me after a while.... ://,04/03/2011 03:52
10,1e84bfe1c9bbd549913aad1bc57c8878,34,is preparing for a week of writing papers and essays. When it rains it pours.,13/04/2011 03:43
11,1e84bfe1c9bbd549913aad1bc57c8878,34,"is feeling her mind turning to mush. Damn you, end of semester papers!",17/04/2011 22:34
12,2a9b90b41e9399bb331fef2582f657c3,208,"Bored as hell. I hate school. Can't do crap around here. I wish it was summer. Heck, I wish I lived in Korea were you have no curfew and all the fun places are so close by that you can just walk there. I envy my cousins who had that life.",11/01/2011 06:42
13,2a9b90b41e9399bb331fef2582f657c3,208,Crappppp... I'm so bored.,11/02/2011 06:38
14,2a9b90b41e9399bb331fef2582f657c3,208,.... Mannn.... There's NOTHING to do online... Maybe I should have sign up for the Date Auction... So boreddddd....,12/02/2011 21:17
15,2a9b90b41e9399bb331fef2582f657c3,208,Damn. No one to talk to.,14/01/2011 00:03
16,2a9b90b41e9399bb331fef2582f657c3,208,"???... BORED as HELL. Someone, talk to me!!",16/01/2011 04:00
