,Unnamed: 0,text,ParticipantID,id,userid_x,annotation_date,annotation,negative_ny,time,userid_y
0,22.0,": It interests me how more crime and destruction has been done in the name of obedience, not disobedience; yet why are we encouraged so much to obey and to not question...",44553.0,2835.0,39b2af957c2488970cb89c161b6bf94e,,0.0,,2011-03-12 23:04:26,39b2af957c2488970cb89c161b6bf94e
1,26.0,: Slightly concerned by how well I'm getting into this lecture on psychopathy. Clearly not enough to keep me awake though!,33442.0,2834.0,39b2af957c2488970cb89c161b6bf94e,,0.0,,2011-03-13 16:18:54,39b2af957c2488970cb89c161b6bf94e
2,30.0,": whoever did my experiment last week: you're amazing, our results are currently being praised and used as an example for the rest of the class :)",22334.0,2838.0,39b2af957c2488970cb89c161b6bf94e,,0.0,2.0,2011-02-07 12:05:53,39b2af957c2488970cb89c161b6bf94e
3,206.0,"2008: Olympic champions, 2009: World Champions, 2010: European Champions, 2011: qualified for the semi-finals of the World Championships, fingers crossed for the French handball team :)",33442.0,2241.0,5b1eb32579450829ec8faab4d3472ffb,,0.0,2.0,2011-01-24 21:51:57,5b1eb32579450829ec8faab4d3472ffb
4,390.0,ANY1 CALL B4 NOON FOR ANYTHING SHORT OF AN EMERGENCY 2MORO IS GONNA DIE!!!!!!!!! (IM SLEEP DEPRIVED AND HAVE A VERY BUSY NEXT 3 DAYS INCLUDING GRADUATION...PLZ LET ME SLEEP!!!!!!!!!),44553.0,1199.0,a7a3af125074cb806a200f51ea7e10bf,,0.0,2.0,2011-06-04 4:35:02,a7a3af125074cb806a200f51ea7e10bf
5,409.0,"Apparently there was some problem in one of the nuclear power stations over in Japan.. nothing huge, just a wall blown down.. b-but I'm really terrified that something worse will happen.. ;_; I-I need a hug D:",44553.0,240.0,eaeabcfe25866f0455d349bae2450d88,,0.0,1.0,2011-03-12 20:58:14,eaeabcfe25866f0455d349bae2450d88
6,416.0,"Ariana Grow and Echo DuRoss are the cutest couple ever :] You can tell that they truly love each other and only have eyes for one another. Their happiness is contagious. Seeing just how intelligent, happy, caring, sweet, and amazing they are I just look up to them more.",33442.0,1550.0,8c393982479748c5a53acaa7a3717c71,,0.0,,2011-08-28 23:20:11,8c393982479748c5a53acaa7a3717c71
7,554.0,Cannot wait for the day when Brandon and I can see each other everyday and not just every two weeks! I miss him lots!,33442.0,842.0,c0289bdb4cd4eda90653b2c84af61e03,,0.0,,2011-01-25 0:29:36,c0289bdb4cd4eda90653b2c84af61e03
8,564.0,"Ch...I give up on this chem work, it simply isn't clicking. I guess I'll try to setup some study time with Ms. Cumsille so I don't try to take the test with no knowledge.",44553.0,996.0,b5efdb17945bc5ac2504e6c0c70f41b1,,0.0,2.0,2011-03-28 2:55:08,b5efdb17945bc5ac2504e6c0c70f41b1
9,584.0,"Cog psych test and paper time... totally meant to start around 9:30, but uh, I kinda wanted to sleep in for once.",22334.0,2635.0,4764518d32334248e6ebbf681a18fd0c,,0.0,,2011-02-09 16:38:39,4764518d32334248e6ebbf681a18fd0c
10,593.0,"Confession 5: I have a hard time letting go of people. If someone hurts me really badly, I end up going back no matter how many times it occurs. I just can't let people go.",33442.0,1565.0,8c393982479748c5a53acaa7a3717c71,,0.0,1.0,2011-08-27 5:21:29,8c393982479748c5a53acaa7a3717c71
11,638.0,Dang :// threw up again. Ugh seriously i hate how we can only miss so much school. Today is going to suck.,22334.0,1537.0,8c393982479748c5a53acaa7a3717c71,,0.0,,2011-08-31 12:57:15,8c393982479748c5a53acaa7a3717c71
