,ParticipantID,id,userid,text,annotation_date,annotation,time
0,44553,1,ff901930a5eaba2dc939d40571f51bb5,Hates dancing...,,0,2010-05-18 20:55:03
1,44553,2,ff901930a5eaba2dc939d40571f51bb5,Fucking dance lift!,,0,2010-04-26 4:42:33
2,22334,3,ff901930a5eaba2dc939d40571f51bb5,It's frustrating when one little thing a person says won't stop spinning around and around in your head afterwords.,,0,2011-03-03 1:20:41
3,22334,4,ff901930a5eaba2dc939d40571f51bb5,Is at one of those points where you just feel like your entire life is boring the hell out of you. Not sure what to do about it at this point.,,0,2010-07-31 19:57:07
4,22334,5,ff901930a5eaba2dc939d40571f51bb5,Status: hysterical. Subject's mind seems to have endured an excessive amount of stress and could not stand the pressure of it. Diagnosis: unknown.,,0,2010-03-23 23:57:39
5,44553,6,ff901930a5eaba2dc939d40571f51bb5,Status: enraged. Subject's temper has gone wild due to certain issues with relatives. Diagnosis: unknown.,,0,2011-03-31 4:19:44
6,44553,7,ff901930a5eaba2dc939d40571f51bb5,Status: in deep brooding session. Subject seems to be thinking deeply of the meaning of his latest dreams. Diagnosis: unknown.,,0,2009-08-29 21:25:34
7,44553,8,ff901930a5eaba2dc939d40571f51bb5,"I have Friday stuck in my head, and it WILL NOT leave......I have been blasting Cradle of Filth for the past HOUR and it's STILL THERE.....somebody PLEASE SHOOT ME D:",,0,2011-03-16 14:56:43
8,44553,9,ff901930a5eaba2dc939d40571f51bb5,The things that my parents say kinda gets to me after a while.... ://,,0,2010-10-23 1:43:59
9,44553,10,ff901930a5eaba2dc939d40571f51bb5,is preparing for a week of writing papers and essays. When it rains it pours.,,0,2011-03-04 17:59:38
10,44553,11,ff901930a5eaba2dc939d40571f51bb5,"is feeling her mind turning to mush. Damn you, end of semester papers!",,0,2009-06-17 20:16:20
11,33442,12,ff901930a5eaba2dc939d40571f51bb5,"Bored as hell. I hate school. Can't do crap around here. I wish it was summer. Heck, I wish I lived in Korea were you have no curfew and all the fun places are so close by that you can just walk there. I envy my cousins who had that life.",,0,2011-03-04 4:48:37
12,33442,13,ff901930a5eaba2dc939d40571f51bb5,Crappppp... I'm so bored.,,0,2011-02-03 15:10:28
13,33442,14,ff901930a5eaba2dc939d40571f51bb5,.... Mannn.... There's NOTHING to do online... Maybe I should have sign up for the Date Auction... So boreddddd....,,0,2011-03-02 16:14:07
14,44553,15,ff901930a5eaba2dc939d40571f51bb5,Damn. No one to talk to.,,0,2011-02-10 15:58:59
15,33442,16,ff7d6f0f87eb76e53dffbc4082367843,"???... BORED as HELL. Someone, talk to me!!",,0,2010-11-03 1:24:28
16,33442,17,fe7c9c678bdb5dfb36e9ffa04ac0a1e7,Bored as hell.,,0,2009-12-02 5:07:23
17,22334,18,fe4e8d6bc63f4d75771c0f0d9e7e152b,"So bored. Some chat, text, or call me. .___.",,0,2010-10-30 7:51:26
18,44553,19,fe4e8d6bc63f4d75771c0f0d9e7e152b,... Where the hell is everyone?,,0,2010-04-09 22:59:29
19,44553,20,fe4e8d6bc63f4d75771c0f0d9e7e152b,I'm so bored.... Pah. I don't want to study for biology.,,0,2010-09-18 4:09:36
20,22334,21,fdfdc49f0f563b1c4e1192b23cb990a1,LA was boring as Ffffffffffffffffff. But got an awesome present for Shayla. x],,0,2010-10-17 23:52:58
21,33442,22,fdfdc49f0f563b1c4e1192b23cb990a1,I have a cold and a feel horrible,,0,2010-01-26 0:21:21
22,44553,23,fdfdc49f0f563b1c4e1192b23cb990a1,I'm sick with a sore throat and I think my strep throat might have come back that would be the 5th time I've had it in a year,,0,2010-02-03 20:17:47
23,33442,24,fdd7bb23407b15e190e70405063db57b,Cry my betts fish died and the other ones dying:(,,0,2010-12-19 7:35:16
