"","userid","cleanCount","noiseCount","removePer"
"1","009d96a823b6f6c085c092fb177491f6",48,49,0.0204081632653061
"2","0724fe854bd455061ba84efecdeff469",49,64,0.234375
"3","088bf0ed841bcc366475b3975eb1b9d2",41,44,0.0681818181818182
"4","0b12516100c16f779b152858619786ff",61,61,0
"5","0c5d06511ef79fba34da417e8c751fff",33,33,0
"6","0e3fdb89c7706b13891170ab2a9017c7",37,37,0
"8","1789589a6d2bba0f09d768f8f3445be5",50,50,0
"9","193165601dfad67e79ef52b2caf9fd9e",22,33,0.333333333333333
"10","1c1a61d11a10f9fa967f250095792db3",37,37,0
"11","1e84bfe1c9bbd549913aad1bc57c8878",34,34,0
"12","23cbbe03a89344129e1a6d8419a66d23",37,37,0
"13","2549774d68d7ccbcba069afb45c7e237",60,60,0
"14","29cda473b52e1c75fbfe958ed3aec565",32,32,0
"15","2a9b90b41e9399bb331fef2582f657c3",208,208,0
"16","2dca898dfbdae6716a587adbfd99c542",49,49,0
"17","2fba0f9dccc84f3516d8b553426af527",51,51,0
"18","30723e9e5ecfe6d20e5e67d1163e3965",89,93,0.043010752688172
"19","39b2af957c2488970cb89c161b6bf94e",143,143,0
"20","3ac58ad39d81acfe169aadc4815effe6",62,62,0
"22","3e6f69fc89da71e8237c717ac218677b",22,22,0
"23","4104c0b8700d519d1661c8a59b065363",41,41,0
"24","41ef345410ba421410cb4d09c331aec3",34,34,0
"25","4764518d32334248e6ebbf681a18fd0c",94,94,0
"26","4908adae6cf09defb838925defcc5e61",110,110,0
"27","49fb9fce8f4dc022318b8cd432aad8b6",30,36,0.166666666666667
"28","4d7ae0617845c6b30eb85b55a991f4c5",41,41,0
"29","55a72284594fdda49b22a6610b9b91d6",73,73,0
"30","57118d9a71e91b6568471ffbd7077415",21,22,0.0454545454545454
"31","5b1eb32579450829ec8faab4d3472ffb",22,27,0.185185185185185
"32","5c31d7d80e78643cd5289acec0561d77",20,21,0.0476190476190477
"33","5cc136477bfe3fcfe809dc451e4243ef",69,69,0
"34","5f86969fe97dd82aba8a683fe7ce6460",56,58,0.0344827586206896
"35","5fcf46eb6809a240af3ab9bcb4f2b92f",44,45,0.0222222222222223
"36","61e7f6145fd03d709cabbde3faf33412",52,52,0
"37","6262f9ea246e00408561aa9a73c49175",123,123,0
"38","64463aa93c9145fa0724a9e89ea7be2a",25,25,0
"39","66495ec54feb9e2399db05a67a80f2c6",30,30,0
"40","6665bcd5e5324938fdbb5ea467fb5e3f",24,25,0.04
"41","7175a46eaf9d0a6e00c562bfaa614360",55,55,0
"42","748b929276449add1cb3bb5985e85fa1",45,47,0.0425531914893617
"43","7e450a79b8bacd420727a5dd9305f8d8",48,48,0
"44","82e932005d8c94bb93bcb54fa19f421c",167,168,0.00595238095238093
"45","83b42f70e17daecbc41b785c2b9ce869",40,41,0.024390243902439
"46","87ab3ba2cf5dd6ef4f4807a754dd968b",32,40,0.2
"47","8a1c6e4eb35abbf1ae252628fca46cdb",26,34,0.235294117647059
"48","8b6ceafaf2ea6bd34f26ff463156363c",25,25,0
"49","8c393982479748c5a53acaa7a3717c71",162,162,0
"50","8ff6192bbbb717c36097b33e244d91de",79,79,0
"51","9138a4af7fa7a5c5bf363d867ff6c56c",22,22,0
"52","968157017daec34ee86050fe9bd72293",59,61,0.0327868852459017
"53","a504bfd98bdc8e7a61edcfe8c4e2a801",65,65,0
"54","a7a3af125074cb806a200f51ea7e10bf",27,27,0
"55","a8b2c778af65ca2c46306554f338cacb",54,54,0
"56","aed86a3085a364f5484679649f064467",39,39,0
"57","b121d90e407cd597da17491f36e7b2c5",24,24,0
"58","b15cf300b5693210682e36cfe5f9789b",43,44,0.0227272727272727
"59","b5efdb17945bc5ac2504e6c0c70f41b1",53,53,0
"60","b6f1257ff213585723c66e253d2b92f7",28,28,0
"61","c0289bdb4cd4eda90653b2c84af61e03",149,149,0
"62","c70b15854118907c8f0a234e2ba44bbc",59,59,0
"63","cd86d1e6d68c3770eaec0db419dceb2f",93,93,0
"64","cea00424ced413c108d878b1a14f3316",33,33,0
"65","cfb021cfbff46ffdb75c7dcafe7c2087",91,91,0
"66","d5380466e18422d7b2c2d54d57cbbde2",33,34,0.0294117647058824
"67","db7f1b0130b2138e13b7bbca9cc63823",50,50,0
"68","dcbe08425f5edef5e5c1053f21e83640",31,31,0
"69","e076953cd3fcf8927b8f21574c0890f3",41,41,0
"70","e9970fe8848e9505b52d414d81611de8",30,31,0.032258064516129
"71","eaeabcfe25866f0455d349bae2450d88",48,48,0
"72","ec3dc451b8a811f05ace158a0d76e32e",22,22,0
"73","f358b75c71d85c91ec0452c6114e3b15",38,38,0
"74","f49956142aab2ad74decfd49a103c2f1",52,52,0
"75","f8708568eff1535c85247b28dc126f9b",162,162,0
"76","fbd681e79ebca2cd9509218403f23ec6",40,41,0.024390243902439
