text,score,cosineSim,result
"Jeez louise. If I see one more status about BISD and wanting school to be closed tomorrow I'm going to violently tear someone's face off. And as amusing as that sounds, I'd rather not have to deal with the legal consequences. So basically, shut up -.-","[3, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9017888019922572],1
"I wish I could laugh, but that joke isn't funny anymore.","[5, 3, 9, 1, 5, 1, 1, 1, 0, 0]",[0.8871040924484247],1
in the bright emptiness...in a room full of it... is a cruel mistress... my heart... i feel this unrest...that nests all hollowness... for i have nowhere to go and i m coldddd.... :S,"[9, 5, 1, 1, 7, 1, 1, 1, 0, 0]",[0.9660225698182187],1
ok Sophie 'Steve' Pilgrim Emma 'Frame' Chauhan never let me do that again i fell like i'm gonna have some kind of fit X_x,"[3, 9, 9, 7, 7, 1, 1, 1, 1, 0]",[0.9241119381413441],1
"Here's something I find extremely annoying on facebook: when you comment on my status with a question to me (or someone else commenting) that has NOTHING to do with my status. I see it all the time on other people's too, and I HATE it. PLEASE. STOP. NOW. I will no longer answer any comments like this, I am GOING to delete them.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9278706999943491],0
"I don't really know what's going on right now, not sure how I'm going to deal with this, hit me like a ton of bricks...","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9108220664153871],0
The beauty of grace is that it makes life not fair.,"[1, 9, 5, 1, 1, 2, 1, 1, 5, 0]",[0.8989105350842748],1
"has been totally f*%cked by the little s*%t who stole my account, 3k gold... Gone!! Epic gear... Gone!!! Professions... Gone!!! They even had the cheek to lvl my alli bank up to lvl 5 and my priest from 72 to 75 :O Putting a ticket in now to get my stuff back... Gutted!!!!!","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9280478589111707],0
"The stars, the moon they have all been blown out; you left me in the dark... I was in the darkness so darkness I became.","[5, 1, 1, 9, 1, 1, 9, 3, 1, 0]",[0.9547637838530039],1
"Jeez I thought it was gone, you'd think your insomnia had disappeared if youd had a good nights sleep for two months, but nope it's back, and this audio hallucinogenic deep sleep music and herbal sleep tea isent doin anything for it, damn insomnia","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9165296312902868],0
i'd be grateful if someone could take the pneumatic drill off my back so i walk - failing that just bring me a bottle.,"[5, 5, 1, 1, 1, 1, 1, 1, 1, 1]",[0.9044529632968029],1
"/Tragedy is when I cut my finger. Comedy is when you walk into an open sewer and die./""""","[3, 2, 2, 4, 1, 1, 1, 1, 1, 0]",[0.9159350540597385],1
I am watching the Sabers v. Flyers game and there is a huge mcdonalds m in center ice...very depressing,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.8840348835376285],0
"Honestly.....I am EXTREMELY sick of all the negativity -.- It's cool to drop a negative status//comment once in a while, but every single status//comment? I am considering editing my friends list. Everyone knows I am a negative person, but I have worked hard to change that so I suggest you do the same. <_< Anyway, love my friends on SLC.PLUR, Skype, PSN <3 Also, those of you who are close to me outside the internet ^^","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9237598877733306],0
Man.....I am in complete shock about Kenzie Christensen.....Of all people I didn't expect to lose her. I may not have been close to her much at all...but I knew her. My heart broke along with everyone elses when I heard the news...I can't help but think of her along with a friend who I lost to suicide in 6th grade....Today my mind will be solely focused on those two <//3 R.I.P.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9559405658335297],0
