userid,post_count,text,negative_emo,distortion,category ,repost,negative_thinking,negative_event,emotion,,post_time,date_added_CESD,time_diff,,
f8708568eff1535c85247b28dc126f9b,162,Hates dancing...,1,2,,2,R,,,,04/04/2011 16:09,10/05/2011 18:39,36,,
f8708568eff1535c85247b28dc126f9b,162,Fucking dance lift!,1,2,,2,R,,,,04/04/2011 16:47,10/05/2011 18:39,36,,
3ac58ad39d81acfe169aadc4815effe6,62,It's frustrating when one little thing a person says won't stop spinning around and around in your head afterwords.,1,1,negative filter,2,R,,,,01/02/2011 19:37,11/02/2011 15:08,10,,
5cc136477bfe3fcfe809dc451e4243ef,69,Is at one of those points where you just feel like your entire life is boring the hell out of you. Not sure what to do about it at this point.,1,1,overgeneralizing: entire life,2,R,,,,03/03/2011 22:36,29/03/2011 10:20,26,,
0724fe854bd455061ba84efecdeff469,64,Status: hysterical. Subject's mind seems to have endured an excessive amount of stress and could not stand the pressure of it. Diagnosis: unknown.,1,2,,2,R,,A,,09/01/2011 1:30,21/02/2011 00:26,43,,
0724fe854bd455061ba84efecdeff469,64,Status: enraged. Subject's temper has gone wild due to certain issues with relatives. Diagnosis: unknown.,1,2,,2,R,,A,,16/01/2011 23:09,21/02/2011 00:26,36,,
0724fe854bd455061ba84efecdeff469,64,Status: in deep brooding session. Subject seems to be thinking deeply of the meaning of his latest dreams. Diagnosis: unknown.,1,2,,2,R,,,,29/01/2011 20:04,21/02/2011 00:26,23,,
0c5d06511ef79fba34da417e8c751fff,33,"I have Friday stuck in my head, and it WILL NOT leave......I have been blasting Cradle of Filth for the past HOUR and it's STILL THERE.....somebody PLEASE SHOOT ME D:",1,2,,2,R,,,,02/04/2011 0:51,15/04/2011 04:51,13,,
1789589a6d2bba0f09d768f8f3445be5,50,The things that my parents say kinda gets to me after a while.... ://,1,2,,2,R,,,,04/03/2011 3:52,05/03/2011 4:18,1,,
1e84bfe1c9bbd549913aad1bc57c8878,34,is preparing for a week of writing papers and essays. When it rains it pours.,1,2,,2,R,,,,13/04/2011 03:43,20/04/2011 03:00,7,,
1e84bfe1c9bbd549913aad1bc57c8878,34,"is feeling her mind turning to mush. Damn you, end of semester papers!",1,2,,2,R,,,,17/04/2011 22:34,20/04/2011 03:00,3,,
2a9b90b41e9399bb331fef2582f657c3,208,"Bored as hell. I hate school. Can't do crap around here. I wish it was summer. Heck, I wish I lived in Korea were you have no curfew and all the fun places are so close by that you can just walk there. I envy my cousins who had that life.",1,2,,2,R,,,,11/01/2011 6:42,10/03/2011 5:40,58,,
2a9b90b41e9399bb331fef2582f657c3,208,Crappppp... I'm so bored.,1,2,,2,R,,,,11/02/2011 6:38,10/03/2011 5:40,27,,
2a9b90b41e9399bb331fef2582f657c3,208,.... Mannn.... There's NOTHING to do online... Maybe I should have sign up for the Date Auction... So boreddddd....,1,2,,2,R,,,,12/02/2011 21:17,10/03/2011 5:40,26,,
2a9b90b41e9399bb331fef2582f657c3,208,Damn. No one to talk to.,1,2,,2,R,,,,14/01/2011 00:03,10/03/2011 5:40,55,,
2a9b90b41e9399bb331fef2582f657c3,208,"???... BORED as HELL. Someone, talk to me!!",1,2,,2,R,,,,16/01/2011 04:00,10/03/2011 5:40,53,,
2a9b90b41e9399bb331fef2582f657c3,208,Bored as hell.,1,2,,2,R,,,,21/02/2011 03:01,10/03/2011 5:40,17,,
2a9b90b41e9399bb331fef2582f657c3,208,"So bored. Some chat, text, or call me. .___.",1,2,,2,R,,,,23/01/2011 03:09,10/03/2011 5:40,46,,
2a9b90b41e9399bb331fef2582f657c3,208,... Where the hell is everyone?,1,2,,2,R,,,,23/01/2011 22:32,10/03/2011 5:40,46,,
2a9b90b41e9399bb331fef2582f657c3,208,I'm so bored.... Pah. I don't want to study for biology.,1,2,,2,R,,,,25/01/2011 03:06,10/03/2011 5:40,44,,
2a9b90b41e9399bb331fef2582f657c3,208,LA was boring as Ffffffffffffffffff. But got an awesome present for Shayla. x],1,2,,2,R,,,,30/01/2011 07:04,10/03/2011 5:40,39,,
2dca898dfbdae6716a587adbfd99c542,49,I have a cold and a feel horrible,1,2,,2,R,,,,03/02/2011 17:24,28/03/2011 01:59,53,,
2dca898dfbdae6716a587adbfd99c542,49,I'm sick with a sore throat and I think my strep throat might have come back that would be the 5th time I've had it in a year,1,2,,2,R,,,,03/03/2011 1:46,28/03/2011 01:59,25,,
2dca898dfbdae6716a587adbfd99c542,49,Cry my betts fish died and the other ones dying:(,1,2,,2,R,,,,17/02/2011 22:52,28/03/2011 01:59,39,,
2dca898dfbdae6716a587adbfd99c542,49,cry my other betta fish died and the vet said tha t,1,2,,2,R,,,,19/02/2011 14:01,28/03/2011 01:59,37,,
2dca898dfbdae6716a587adbfd99c542,49,booh im crying my Betta fish died,1,2,,2,R,,,,24/03/2011 19:39,28/03/2011 01:59,4,,
39b2af957c2488970cb89c161b6bf94e,143,: why does life have to get in the way of my affair with my bed?,1,2,,2,R,,,,08/02/2011 9:47,05/04/2011 0:32,56,,
39b2af957c2488970cb89c161b6bf94e,143,: whoo for the return of insomnia...!,1,2,,2,R,,,,09/02/2011 2:37,05/04/2011 0:32,55,,
39b2af957c2488970cb89c161b6bf94e,143,": cold, tired and overwhelmed. I have no energy to hope that tomorrow will be better...",1,2,,2,R,,,,14/03/2011 21:39,05/04/2011 0:32,22,,
39b2af957c2488970cb89c161b6bf94e,143,: and we lost the house...,1,2,,2,R,,,,15/02/2011 20:43,05/04/2011 0:32,49,,
39b2af957c2488970cb89c161b6bf94e,143,: my body is screaming at me to stay in bed!,1,2,,2,R,,,,15/03/2011 12:27,05/04/2011 0:32,21,,
39b2af957c2488970cb89c161b6bf94e,143,": Lab report, why do you have to be so hard? I don't really want to hand you in and I haven't properly started you yet ://",1,2,,2,R,,,,16/02/2011 18:56,05/04/2011 0:32,48,,
39b2af957c2488970cb89c161b6bf94e,143,: my mind in its current state is very much dependent on (possibly addicted to) energy drinks until I return home later...,1,2,,2,R,,,,16/03/2011 17:07,05/04/2011 0:32,20,,
39b2af957c2488970cb89c161b6bf94e,143,: currently staring at the list of my work and trying to slide down my chair so I can't see it.,1,2,,2,R,,,,17/02/2011 22:35,05/04/2011 0:32,47,,
39b2af957c2488970cb89c161b6bf94e,143,: I wonder how receptive lab reports and journals are to being growled at...,1,2,,2,R,,,,26/03/2011 22:00,05/04/2011 0:32,10,,
4764518d32334248e6ebbf681a18fd0c,94,Half of my bank account is gone. THANKS TEXTBOOKS ILY.,1,2,,2,R,,,,19/01/2011 13:38,28/02/2011 22:46,40,,
4764518d32334248e6ebbf681a18fd0c,94,"Money buys happiness. I know this because I'm poor, and I'm not exactly spending my time testing expensive food on white beaches.",1,2,,2,R,,,h,20/02/2011 01:42,28/02/2011 22:46,8,,
4908adae6cf09defb838925defcc5e61,110,"Got two of THE BIGGEST ulcers at the back of my mouth, positioned fucking wonderfully so I can't open my mouth, swallow, or eat, without intense pain. One of the repercussions of new years. FANTASTIC -___-",1,2,,2,R,,,,03/01/2011 20:12,10/02/2011 19:26,38,,
4908adae6cf09defb838925defcc5e61,110,Oh ffs i think i'm getting ill.,1,2,,2,R,,A,,04/01/2011 14:42,10/02/2011 19:26,37,,
4908adae6cf09defb838925defcc5e61,110,"FUCK YOU, ULCER, FUCK YOU.",1,2,,2,R,,A,,05/01/2011 15:23,10/02/2011 19:26,36,,
5cc136477bfe3fcfe809dc451e4243ef,69,Is so bored. This job is going to kill me with bordem.,1,2,,2,R,,,,06/03/2011 0:50,29/03/2011 10:20,23,,
6665bcd5e5324938fdbb5ea467fb5e3f,25,Bored of homework -_-*,1,2,,2,R,,,,03/02/2011 0:06,02/04/2011 1:06,58,,
6665bcd5e5324938fdbb5ea467fb5e3f,25,"Bored. as. can. be. P.S: i looked u up to add you, and i clicked the wrong person, and it was someone from the kkk...",1,2,,2,R,,,,03/02/2011 2:03,02/04/2011 1:06,58,,
6665bcd5e5324938fdbb5ea467fb5e3f,25,SOOO BORED D: D: D: D: D:,1,2,,2,R,,,,12/02/2011 1:03,02/04/2011 1:06,49,,
7e450a79b8bacd420727a5dd9305f8d8,48,has been awake since stupid o'clock AGAIN!!! Grrrrrr!,1,2,,2,R,,,,04/01/2011 5:15,14/02/2011 20:06,41,,
7e450a79b8bacd420727a5dd9305f8d8,48,is awake at stupid o'clock again!,1,2,,2,R,,,,30/12/2010 05:40,14/02/2011 20:06,46,,
82e932005d8c94bb93bcb54fa19f421c,168,"I hate waking up in the middle of the night!!!! Yes, the middle of the night. I went to bed at midnight, that makes 5 a.m. the middle of the night, yes.",1,2,,2,R,,,,17/02/2011 12:09,27/03/2011 23:45,38,,
82e932005d8c94bb93bcb54fa19f421c,168,"Hey man, nobody's awake at 3:30. That's just messed up.",1,2,,2,R,,,,25/02/2011 10:32,27/03/2011 23:45,30,,
82e932005d8c94bb93bcb54fa19f421c,168,"And this is why I don't go to bed early. Inevitably, I will wake up around 3 and not be able to fall back asleep. Stupid circadian rhythm...why can't it just leave me alone??",1,2,,2,R,,,,30/01/2011 10:35,27/03/2011 23:45,56,,
8c393982479748c5a53acaa7a3717c71,162,Staying off the internet for a while....the pain in my hand is just too painful to type :// Love you guys!,1,2,,2,R,,,,06/08/2011 7:38,02/09/2011 6:07,27,,
8c393982479748c5a53acaa7a3717c71,162,"Ugh hand pain is starting to get worse <_< Meh anyway registration tomorrow and party saturday. This week will be amazing <3 except that Bleach has no manga out this week lol but oh well I have to be patient =P Looking forward to October//November so I can get MW3, Uncharted 3, Batman Arkham City and some other games :D",1,2,,2,R,,,,09/08/2011 9:35,02/09/2011 6:07,24,,
8c393982479748c5a53acaa7a3717c71,162,Great.......threw up before I could even go to school....today is not going to be fun. I seriously despise this continuous stomach pain -.-,1,2,,2,R,,,,29/08/2011 12:41,02/09/2011 6:07,4,,
8c393982479748c5a53acaa7a3717c71,162,Dang :// threw up again. Ugh seriously i hate how we can only miss so much school. Today is going to suck.,1,2,,2,R,,,,31/08/2011 12:57,02/09/2011 6:07,2,,
8ff6192bbbb717c36097b33e244d91de,79,Sickness only makes being home alone worse. :(,1,2,,2,R,,,,08/03/2011 6:27,29/03/2011 00:41,21,,
8ff6192bbbb717c36097b33e244d91de,79,"I feel sick. Oh, wait. I am.",1,2,,2,R,,,,10/03/2011 6:20,29/03/2011 00:41,19,,
a504bfd98bdc8e7a61edcfe8c4e2a801,65,Im tired of tricks their starting to get on my dank nerves,1,2,,2,R,,,,11/03/2011 19:03,30/03/2011 03:10,19,,
a504bfd98bdc8e7a61edcfe8c4e2a801,65,these tricks gettin on my damn nerves and so is obama get ur shit straight dude help libya or u WON'T be reelected we dont like febal politics coward presidents who who fogien politics is to give up our millitary is the strongest in the world for a reason make our enemys and dictators fear us again and we could put an end to all this crap,1,2,,2,R,,,,11/03/2011 20:01,30/03/2011 03:10,19,,
a504bfd98bdc8e7a61edcfe8c4e2a801,65,I need something to give me something to change my life and give it meaning,1,2,,2,R,,,,15/02/2011 05:17,30/03/2011 03:10,43,,
a504bfd98bdc8e7a61edcfe8c4e2a801,65,"/All i want to do is trade this life for something new...holding on to what i havent got.../"" - Waiting for the End""",1,2,,2,R,,,,16/03/2011 05:27,30/03/2011 03:10,14,,
b15cf300b5693210682e36cfe5f9789b,44,What another boring day with no plans again!,1,2,,2,R,,,,12/02/2011 15:50,08/03/2011 22:00,24,,
b15cf300b5693210682e36cfe5f9789b,44,Ugh! What a boring morning!,1,2,,2,R,,,,28/01/2011 17:36,08/03/2011 22:00,39,,
b15cf300b5693210682e36cfe5f9789b,44,I am so bored!,1,2,,2,R,,,,30/01/2011 00:04,08/03/2011 22:00,37,,
b5efdb17945bc5ac2504e6c0c70f41b1,53,Why........SO..BOOOOOOOOOOOOOOOOOOOOREEEED!,1,2,,2,R,,,,01/03/2011 2:56,19/04/2011 04:07,49,,
