,emptyTran,negaTran,posiTran,mixTran,neuTran,PosAndNeg,MixAndPos,MixAndNeg,MixAndNeu,NeuAndPos,NeuAndNeg,EmptyAndPos,EmptyAndNeg,EmptyAndMix,EmptyAndNeu,ope,con,ext,agr,neu,swl,CESD_sum
emptyTran,1,-0.530800543,-0.382466589,,0.005230258,-0.742457192,-0.386505929,-0.39766768,-0.205644815,-0.269003596,-0.210695387,0.212984938,-0.056505765,0.140958253,0.160576794,0.1303751,-0.044900143,0.034343893,0.104996965,-0.087778507,-0.001060298,-0.046804071
negaTran,-0.530800543,1,0.021071286,,-0.136024014,0.495825808,0.284860531,0.356729251,-0.031049852,-0.111998409,0.047102912,-0.552830655,-0.172078782,-0.17209092,-0.290241815,-0.146268082,0.01635676,-0.121820825,-0.263423188,0.16785015,-0.105444517,0.0972242
posiTran,-0.382466589,0.021071286,1,,0.051065715,0.283790061,0.35132939,0.170140771,-0.017743688,-0.174398176,-0.202335671,-0.016855152,-0.379265606,-0.147537328,-0.271104627,-0.130213974,0.03755867,0.274275096,0.117748477,0.015465417,0.086242609,0.014912306
mixTran,,,,,,,,,,,,,,,,,,,,,,
neuTran,0.005230258,-0.136024014,0.051065715,,1,-0.190592782,-0.092389347,-0.031340125,0.305276556,0.28551834,0.278922551,-0.013197153,-0.132101481,-0.230033909,0.243707761,-0.055051929,-0.023327622,0.016695989,-0.05032037,-0.189383853,0.303154225,-0.191036351
PosAndNeg,-0.742457192,0.495825808,0.283790061,,-0.190592782,1,0.409923182,0.571312833,0.134320728,-0.024833986,0.165812498,-0.467371054,-0.012293336,-0.130223512,-0.384365905,-0.099549986,-0.031023328,-0.038202503,-0.028922469,0.208972458,-0.090426109,0.095412012
MixAndPos,-0.386505929,0.284860531,0.35132939,,-0.092389347,0.409923182,1,0.499454428,0.105737883,-0.180019894,-0.018360653,-0.267810366,-0.257860414,0.13430138,-0.142936601,-0.022690669,0.03596636,-0.028432451,0.076889284,0.068717898,0.061411539,0.065803477
MixAndNeg,-0.39766768,0.356729251,0.170140771,,-0.031340125,0.571312833,0.499454428,1,0.197798308,-0.133216203,-0.012964369,-0.363543867,-0.199553861,-0.061004425,-0.212247247,-0.019263303,-0.0470221,-0.12630565,-0.012388226,0.181164329,-0.149221313,0.124422417
MixAndNeu,-0.205644815,-0.031049852,-0.017743688,,0.305276556,0.134320728,0.105737883,0.197798308,1,0.387312318,0.390907581,-0.05804394,-0.163413285,-0.13873577,0.118189829,-0.089172319,-0.0811249,-0.074192359,-0.054454003,0.148037054,-0.048768913,0.010717482
NeuAndPos,-0.269003596,-0.111998409,-0.174398176,,0.28551834,-0.024833986,-0.180019894,-0.133216203,0.387312318,1,0.441742663,0.062952821,0.074836761,-0.257226337,0.38280361,6.33E-06,-0.207169687,-0.173487839,-0.140382203,0.065054974,-0.124722148,0.027906894
NeuAndNeg,-0.210695387,0.047102912,-0.202335671,,0.278922551,0.165812498,-0.018360653,-0.012964369,0.390907581,0.441742663,1,-0.371725061,0.120407379,-0.1883012,0.166757199,-0.085407977,-0.085557089,-0.1755099,-0.127845346,0.07099984,-0.00761208,0.068039032
EmptyAndPos,0.212984938,-0.552830655,-0.016855152,,-0.013197153,-0.467371054,-0.267810366,-0.363543867,-0.05804394,0.062952821,-0.371725061,1,-0.1351811,0.293439229,0.044429114,0.144717226,0.086837162,0.221379606,0.256490175,-0.201398537,0.107637912,-0.204253818
EmptyAndNeg,-0.056505765,-0.172078782,-0.379265606,,-0.132101481,-0.012293336,-0.257860414,-0.199553861,-0.163413285,0.074836761,0.120407379,-0.1351811,1,0.039236972,0.011349338,0.030857289,0.082200592,-0.165196449,-0.102321519,-0.101426514,0.020751259,0.056984457
EmptyAndMix,0.140958253,-0.17209092,-0.147537328,,-0.230033909,-0.130223512,0.13430138,-0.061004425,-0.13873577,-0.257226337,-0.1883012,0.293439229,0.039236972,1,-0.142599387,0.20640785,0.242678997,0.073092808,0.264907606,-0.223483311,0.157587981,-0.168230805
EmptyAndNeu,0.160576794,-0.290241815,-0.271104627,,0.243707761,-0.384365905,-0.142936601,-0.212247247,0.118189829,0.38280361,0.166757199,0.044429114,0.011349338,-0.142599387,1,0.031266823,-0.063907345,-0.144038877,-0.105960293,-0.033907567,0.037035746,0.006137983
ope,0.1303751,-0.146268082,-0.130213974,,-0.055051929,-0.099549986,-0.022690669,-0.019263303,-0.089172319,6.33E-06,-0.085407977,0.144717226,0.030857289,0.20640785,0.031266823,1,-0.075814179,0.305310683,0.017626196,-0.209973247,-0.078370084,-0.227366571
con,-0.044900143,0.01635676,0.03755867,,-0.023327622,-0.031023328,0.03596636,-0.0470221,-0.0811249,-0.207169687,-0.085557089,0.086837162,0.082200592,0.242678997,-0.063907345,-0.075814179,1,0.18455908,0.151372176,-0.367603852,0.401754651,-0.402877023
ext,0.034343893,-0.121820825,0.274275096,,0.016695989,-0.038202503,-0.028432451,-0.12630565,-0.074192359,-0.173487839,-0.1755099,0.221379606,-0.165196449,0.073092808,-0.144038877,0.305310683,0.18455908,1,0.182808238,-0.345979861,0.204758738,-0.351483396
