,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
009d96a823b6f6c085c092fb177491f6,-1,-1,-1,2,-1,-1,2,2,-1,-1,1,-1,-1,2,-1,-1,3,-1,-1,-1,-1,4,2,-1,4,-1,3,-1,1,-1,-1,-1,1,2,-1,-1,3,2,2,2,1,4,-1,1,-1,-1,-1,4,3,4,1,2,-1,-1,-1,4,1,1,1,2
0724fe854bd455061ba84efecdeff469,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,2,-1,-1,-1,-1,1,2,1,4,-1,-1,1,-1,1,1,1,-1,1,2,1,1,4,1,2,-1,-1,-1,-1,-1,1,4,-1,-1,2,2,-1,-1,-1
088bf0ed841bcc366475b3975eb1b9d2,4,2,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,1,2,-1,-1,-1,3,-1,1,-1,3,2,1,-1,-1,-1,1,-1,-1,-1,-1,2,-1,-1,-1,2,4,1,-1,1,4,2
0b12516100c16f779b152858619786ff,1,1,1,-1,2,1,2,3,1,2,2,-1,1,2,-1,1,-1,2,-1,-1,1,2,2,-1,-1,2,2,1,1,-1,-1,1,2,-1,-1,-1,1,-1,-1,-1,1,2,-1,1,-1,1,-1,3,2,-1,-1,2,-1,-1,4,2,2,-1,4,1
0c5d06511ef79fba34da417e8c751fff,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,2,2,2,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,2,2,1,3,1,-1,-1,2,-1,4,-1,-1,-1,-1,-1,4,-1,-1,2,2,1,-1,-1,-1,4,-1
0e3fdb89c7706b13891170ab2a9017c7,3,1,-1,1,3,1,2,-1,-1,-1,3,1,-1,4,2,4,-1,-1,3,-1,2,2,4,-1,2,4,4,-1,-1,-1,-1,-1,2,4,4,-1,-1,-1,-1,3,-1,1,-1,-1,-1,2,-1,-1,-1,4,-1,2,3,1,-1,-1,-1,-1,-1,-1
1789589a6d2bba0f09d768f8f3445be5,1,2,-1,-1,1,1,-1,4,1,4,-1,-1,-1,-1,-1,1,2,-1,-1,-1,4,2,-1,-1,1,1,1,-1,-1,1,1,1,-1,2,2,-1,4,2,3,-1,-1,-1,-1,1,-1,4,3,4,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1
193165601dfad67e79ef52b2caf9fd9e,-1,-1,-1,-1,3,-1,2,3,3,1,1,-1,-1,-1,-1,1,1,1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,4,-1,2,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,1,-1,2
1c1a61d11a10f9fa967f250095792db3,1,2,1,-1,4,-1,1,1,1,-1,-1,4,-1,2,1,4,4,-1,-1,-1,4,-1,4,1,3,-1,3,-1,2,-1,-1,-1,2,-1,-1,-1,3,4,-1,2,-1,-1,-1,1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,2,-1,4,1,-1,-1
1e84bfe1c9bbd549913aad1bc57c8878,-1,-1,2,-1,1,-1,4,4,3,2,2,4,2,-1,2,-1,-1,-1,2,-1,-1,-1,2,2,1,-1,1,2,2,2,-1,2,4,2,3,-1,4,-1,-1,-1,2,-1,-1,1,-1,2,-1,-1,-1,2,4,-1,4,-1,-1,2,-1,2,2,-1
