,NegativePosts,PositivePosts,NeutralPosts,MixedPosts,EmptyPosts,ope,con,ext,agr,neu,swl,CESD_sum
NegativePosts,1.0,0.5757230593626621,0.5451265288370128,0.49676106469963943,-0.7393573628975127,-0.13739154979730894,-0.008357420649929729,-0.15922170284728596,-0.27142069390227147,0.1937694745980633,-0.14057225075307703,0.15764329287764858
PositivePosts,0.5757230593626621,1.0,0.3948255515850274,0.575284902316012,-0.8565543398411982,-0.16055591140596062,-0.0582989736650686,0.09696698293880202,-0.0062433226752390296,0.1518402946269103,-0.02738188635205059,0.09788528279037599
NeutralPosts,0.5451265288370128,0.3948255515850274,1.0,0.2597933637294542,-0.6427562688303232,-0.09292087064733161,-0.17354129981987707,-0.1780128331043431,-0.22374533681878145,0.046921908107300965,-0.0989693315189688,0.03640067074644062
MixedPosts,0.49676106469963943,0.575284902316012,0.2597933637294542,1.0,-0.5201579680669505,-0.03265791281703766,0.04506864213827813,-0.07452490286869058,0.1031191478451869,0.15032065539412623,-0.0888401803644996,0.12782897585338396
EmptyPosts,-0.7393573628975127,-0.8565543398411982,-0.6427562688303232,-0.5201579680669505,1.0,0.1704098225959714,0.009195511105490857,0.03238484970383114,0.1442730761146027,-0.16720943557300513,0.04551367808549451,-0.10622847533967324
ope,-0.13739154979730894,-0.16055591140596062,-0.09292087064733161,-0.03265791281703766,0.1704098225959714,1.0,-0.07581417945718766,0.3053106827175058,0.017626195865550327,-0.20997324710166412,-0.07837008416831089,-0.22736657142918243
con,-0.008357420649929729,-0.0582989736650686,-0.17354129981987707,0.04506864213827813,0.009195511105490857,-0.07581417945718766,1.0,0.184559079596992,0.15137217610582618,-0.3676038524232839,0.4017546508543329,-0.4028770230146182
ext,-0.15922170284728596,0.09696698293880202,-0.1780128331043431,-0.07452490286869058,0.03238484970383114,0.3053106827175058,0.184559079596992,1.0,0.1828082375376087,-0.34597986094785116,0.20475873761338123,-0.35148339551778607
agr,-0.27142069390227147,-0.0062433226752390296,-0.22374533681878145,0.1031191478451869,0.1442730761146027,0.017626195865550327,0.15137217610582618,0.1828082375376087,1.0,-0.2775350271829806,0.24616180059319911,-0.19315363239396385
neu,0.1937694745980633,0.1518402946269103,0.046921908107300965,0.15032065539412623,-0.16720943557300513,-0.20997324710166412,-0.3676038524232839,-0.34597986094785116,-0.2775350271829806,1.0,-0.40264498776667157,0.6145502805560522
swl,-0.14057225075307703,-0.02738188635205059,-0.0989693315189688,-0.0888401803644996,0.04551367808549451,-0.07837008416831089,0.4017546508543329,0.20475873761338123,0.24616180059319911,-0.40264498776667157,1.0,-0.462403191605134
CESD_sum,0.15764329287764858,0.09788528279037599,0.03640067074644062,0.12782897585338396,-0.10622847533967324,-0.22736657142918243,-0.4028770230146182,-0.35148339551778607,-0.19315363239396385,0.6145502805560522,-0.462403191605134,1.0
