,emptyTran,negaTran,posiTran,mixTran,neuTran,PosAndNeg,MixAndPos,MixAndNeg,MixAndNeu,NeuAndPos,NeuAndNeg,EmptyAndPos,EmptyAndNeg,EmptyAndMix,EmptyAndNeu,allPosts,ope,con,ext,agr,neu,swl,CESD_sum
emptyTran,1.0,-0.48831002691189174,-0.6250643478886105,-0.19469138695913568,-0.3738685177676959,-0.6776396340947762,-0.5832441523496181,-0.27647524424187236,-0.39301288773732684,-0.6693961889346389,-0.5529443860522372,0.13072564739401563,0.10592288729521976,0.11224347166609555,-0.016819109826742208,-0.686370294586371,0.13094271645586322,-0.03107588480550998,0.029772271465407653,0.11408291487132576,-0.0979353575344651,0.008435789729307386,-0.06814478402111246
negaTran,-0.48831002691189174,1.0,0.3455585869063186,0.027671516326705895,0.26808948158136897,0.7779537908663067,0.4893884148239874,0.36049744695895714,0.2871958581383875,0.37030492109849594,0.7180292188907893,-0.46339404077629714,-0.08710091482272173,-0.1826587253796449,-0.12531211098116252,0.7724970898393111,-0.14707318511501297,-0.004922515224596308,-0.11288888292461961,-0.29356824198384207,0.1564872987461905,-0.14553923275396907,0.15904254915110622
posiTran,-0.6250643478886105,0.3455585869063186,1.0,0.19811986963520398,0.29741373803262816,0.6595757626300912,0.6619197030320498,0.34345050340927696,0.32064368621906375,0.5489487051688817,0.23729305588289942,-0.2891667472987305,-0.4735201305411469,-0.06837865245970795,-0.32705880947605587,0.791876547538503,-0.19175302493752372,-0.06949866732361641,0.13347338552168111,0.018111284390249165,0.15756402754368595,-0.0158658932944804,0.11158147115258034
mixTran,-0.19469138695913568,0.027671516326705895,0.19811986963520398,1.0,-0.08929550287360297,0.20145100979510797,0.3065258117056064,0.5394851401685539,0.14907740760086985,0.13645844795894707,0.009123984670402874,0.07155473247603907,-0.07296604445913249,0.23137863663983316,-0.10264900662251661,0.21048823661591468,-0.17606788402606016,0.00988473145128609,-0.08035119641651652,0.09520105131539795,0.1408854491917785,-0.02609321143318765,0.13303478386473003
neuTran,-0.3738685177676959,0.26808948158136897,0.29741373803262816,-0.08929550287360297,1.0,0.3194746693274511,0.33483243864342516,-0.08165057867832518,0.5244633506764893,0.7573300853850538,0.4995929261642811,-0.4491248755987632,-0.17964790664983601,-0.22647713223824337,0.21593544949864946,0.49333340733451925,-0.05157582503714723,-0.18374018825039742,-0.08717265163927085,-0.077837048173651,-0.038589570841294336,-0.01638392330846121,-0.04844443033504732
PosAndNeg,-0.6776396340947762,0.7779537908663067,0.6595757626300912,0.20145100979510797,0.3194746693274511,1.0,0.7635211543297035,0.5460067603981549,0.3858509307706042,0.5578737169913335,0.6068457348353469,-0.45710521162692475,-0.3040041916222401,-0.1668582770989041,-0.22276390235784588,0.9242949860391403,-0.09973656616739086,-0.007168140162555106,-0.09187728375515376,-0.16872675269275256,0.21325779318405538,-0.07745576448911175,0.10595667665183445
MixAndPos,-0.5832441523496181,0.4893884148239874,0.6619197030320498,0.3065258117056064,0.33483243864342516,0.7635211543297035,1.0,0.5318577357590936,0.5324223405973307,0.6067114420435527,0.3928420977595541,-0.35562558972888436,-0.3566276801390101,-0.08462684790145363,-0.25634967377078177,0.7819999571035006,-0.04663079095459057,-0.11300976356600069,-0.013348430610512411,0.019492114799069298,0.159766984346301,-0.020820676847553368,0.11392364917631564
MixAndNeg,-0.27647524424187236,0.36049744695895714,0.34345050340927696,0.5394851401685539,-0.08165057867832518,0.5460067603981549,0.5318577357590936,1.0,0.3230332423874828,0.2176622287759277,0.24677538124988474,-0.1782458537539778,-0.23898202883353095,0.13203898313901974,-0.1885758727761661,0.5116341797044917,-0.06825328334699056,0.08906486746008511,-0.08299813747650424,0.05297690158684618,0.11641558587307012,-0.1235079340317275,0.11104734286665735
MixAndNeu,-0.39301288773732684,0.2871958581383875,0.32064368621906375,0.14907740760086985,0.5244633506764893,0.3858509307706042,0.5324223405973307,0.3230332423874828,1.0,0.5345778144475373,0.4027677581876515,-0.2873611450043714,-0.17241348156120698,-0.06969060010458171,-0.06636856070242794,0.48806479265814057,-0.020850383316738934,-0.1431173916589713,-0.11925267860125262,-0.035381184222979166,0.10822744924250262,-0.04565656451054183,0.11872272840855799
NeuAndPos,-0.6693961889346389,0.37030492109849594,0.5489487051688817,0.13645844795894707,0.7573300853850538,0.5578737169913335,0.6067114420435527,0.2176622287759277,0.5345778144475373,1.0,0.5715253323585889,-0.43936641467159754,-0.2688653219850301,-0.1801475545597353,0.044636542323355954,0.6994000422386326,-0.12938501329235969,-0.19231257762144904,-0.11089074756195619,-0.10599809147342605,0.10366819094980355,-0.08920445589874769,0.06852850079670383
NeuAndNeg,-0.5529443860522372,0.7180292188907893,0.23729305588289942,0.009123984670402874,0.4995929261642811,0.6068457348353469,0.3928420977595541,0.24677538124988474,0.4027677581876515,0.5715253323585889,1.0,-0.5383214373106361,-0.0774189326745939,-0.2147174385043214,0.09495459312612733,0.6521043651563193,-0.09539582311959131,-0.044871112683872366,-0.19596143704946603,-0.29042543114485664,0.1053087093912602,-0.18075653169726513,0.1033574228423624
EmptyAndPos,0.13072564739401563,-0.46339404077629714,-0.2891667472987305,0.07155473247603907,-0.4491248755987632,-0.45710521162692475,-0.35562558972888436,-0.1782458537539778,-0.2873611450043714,-0.43936641467159754,-0.5383214373106361,1.0,-0.0344906770442892,0.17291425965912985,-0.14893953145524316,-0.4866841002461769,0.18426769564336284,0.14180384786158945,0.24604941047221152,0.2758926428436415,-0.2740813196362253,0.11592534715014671,-0.17560414189576035
EmptyAndNeg,0.10592288729521976,-0.08710091482272173,-0.4735201305411469,-0.07296604445913249,-0.17964790664983601,-0.3040041916222401,-0.3566276801390101,-0.23898202883353095,-0.17241348156120698,-0.2688653219850301,-0.0774189326745939,-0.0344906770442892,1.0,-0.02889553396207773,0.02040257313794725,-0.38193056191563224,0.0028421777700564843,0.003317158891539802,-0.22772538498356146,-0.030383235035388385,0.045802103238101445,0.056885367591622125,0.07251442932941442
EmptyAndMix,0.11224347166609555,-0.1826587253796449,-0.06837865245970795,0.23137863663983316,-0.22647713223824337,-0.1668582770989041,-0.08462684790145363,0.13203898313901974,-0.06969060010458171,-0.1801475545597353,-0.2147174385043214,0.17291425965912985,-0.02889553396207773,1.0,-0.11969689531724441,-0.15183993685772426,0.11478302748711947,0.23880499120662899,-0.0064527785283143594,0.21499903903743042,-0.022144386182337415,-0.03537492813957667,-0.019442500058204266
EmptyAndNeu,-0.016819109826742208,-0.12531211098116252,-0.32705880947605587,-0.10264900662251661,0.21593544949864946,-0.22276390235784588,-0.25634967377078177,-0.1885758727761661,-0.06636856070242794,0.044636542323355954,0.09495459312612733,-0.14893953145524316,0.02040257313794725,-0.11969689531724441,1.0,-0.24963022815912758,-0.033415744493674786,-0.055704776985765106,-0.1022026244985603,-0.20983385891062734,-0.11592808043538362,0.060767553294088075,-0.09711782263520781
allPosts,-0.686370294586371,0.7724970898393111,0.791876547538503,0.21048823661591468,0.49333340733451925,0.9242949860391403,0.7819999571035006,0.5116341797044917,0.48806479265814057,0.6994000422386326,0.6521043651563193,-0.4866841002461769,-0.38193056191563224,-0.15183993685772426,-0.24963022815912758,1.0,-0.15460517102876095,-0.0853404694820951,-0.04200506538286501,-0.13164531563096674,0.1726605039372299,-0.10559989448270778,0.1302884691280415
ope,0.13094271645586322,-0.14707318511501297,-0.19175302493752372,-0.17606788402606016,-0.05157582503714723,-0.09973656616739086,-0.04663079095459057,-0.06825328334699056,-0.020850383316738934,-0.12938501329235969,-0.09539582311959131,0.18426769564336284,0.0028421777700564843,0.11478302748711947,-0.033415744493674786,-0.15460517102876095,1.0,-0.07581417945718766,0.3053106827175058,0.017626195865550327,-0.20997324710166412,-0.07837008416831089,-0.22736657142918243
con,-0.03107588480550998,-0.004922515224596308,-0.06949866732361641,0.00988473145128609,-0.18374018825039742,-0.007168140162555106,-0.11300976356600069,0.08906486746008511,-0.1431173916589713,-0.19231257762144904,-0.044871112683872366,0.14180384786158945,0.003317158891539802,0.23880499120662899,-0.055704776985765106,-0.0853404694820951,-0.07581417945718766,1.0,0.184559079596992,0.15137217610582618,-0.3676038524232839,0.4017546508543329,-0.4028770230146182
ext,0.029772271465407653,-0.11288888292461961,0.13347338552168111,-0.08035119641651652,-0.08717265163927085,-0.09187728375515376,-0.013348430610512411,-0.08299813747650424,-0.11925267860125262,-0.11089074756195619,-0.19596143704946603,0.24604941047221152,-0.22772538498356146,-0.0064527785283143594,-0.1022026244985603,-0.04200506538286501,0.3053106827175058,0.184559079596992,1.0,0.1828082375376087,-0.34597986094785116,0.20475873761338123,-0.35148339551778607
agr,0.11408291487132576,-0.29356824198384207,0.018111284390249165,0.09520105131539795,-0.077837048173651,-0.16872675269275256,0.019492114799069298,0.05297690158684618,-0.035381184222979166,-0.10599809147342605,-0.29042543114485664,0.2758926428436415,-0.030383235035388385,0.21499903903743042,-0.20983385891062734,-0.13164531563096674,0.017626195865550327,0.15137217610582618,0.1828082375376087,1.0,-0.2775350271829806,0.24616180059319911,-0.19315363239396385
neu,-0.0979353575344651,0.1564872987461905,0.15756402754368595,0.1408854491917785,-0.038589570841294336,0.21325779318405538,0.159766984346301,0.11641558587307012,0.10822744924250262,0.10366819094980355,0.1053087093912602,-0.2740813196362253,0.045802103238101445,-0.022144386182337415,-0.11592808043538362,0.1726605039372299,-0.20997324710166412,-0.3676038524232839,-0.34597986094785116,-0.2775350271829806,1.0,-0.40264498776667157,0.6145502805560522
