,negaTran,posiTran,mixTran,neuTran,PosAndNeg,MixAndPos,MixAndNeg,MixAndNeu,NeuAndPos,NeuAndNeg,allPosts,ope,con,ext,agr,neu,swl,CESD_sum
negaTran,1.0,-0.5498724072164114,-0.046462252103914185,-0.07560099937032631,0.10725248063739577,-0.14336324563988626,-0.07843967254838256,-0.1351171590812393,-0.290674467314799,0.5001473602783282,,-0.14190137336651137,-0.09385939927734106,-0.14624077446622394,-0.2513408804240345,0.15657007122995928,-0.12765860791970288,0.20395832053171162
posiTran,-0.5498724072164114,1.0,0.07641679680409313,-0.48544454415489163,-0.13812256795403194,0.00774213034988509,0.08157096142438004,-0.09687154305583294,-0.3690126923501151,-0.7321526464347032,,-0.06165319470473186,0.13368072690690952,0.40234809507722774,0.30632482680059786,-0.0849278264344097,0.07691157551350684,-0.07755210082910906
mixTran,-0.046462252103914185,0.07641679680409313,1.0,-0.12666827199281325,0.03959968410050439,0.06022195038406336,0.0649137358191246,-0.059504488236619836,-0.034259280155680465,-0.12362760172214746,,-0.1267172011995686,0.08003336979516733,-0.06290461170675042,0.15083746204246595,0.013207943978780123,0.12408799868862457,0.03904346136910228
neuTran,-0.07560099937032631,-0.48544454415489163,-0.12666827199281325,1.0,-0.3550240009745635,-0.19940749444451344,-0.2895239487677455,0.08208021008744676,0.4897348311719532,0.41247130279866284,,0.06838694894104572,-0.20382380582877543,-0.09296274294297703,-0.2645727999984565,-0.0467507051461219,0.01561654132375842,-0.06907771315408709
PosAndNeg,0.10725248063739577,-0.13812256795403194,0.03959968410050439,-0.3550240009745635,1.0,0.021696034864006963,0.14348409392572029,-0.1748482700462383,-0.33884105990959174,-0.24539520049638,,0.1745657378586118,0.0833594689250411,-0.12104100918072515,0.03340718275416369,0.054856422859213064,0.057823126760413186,-0.08015928713684357
MixAndPos,-0.14336324563988626,0.00774213034988509,0.06022195038406336,-0.19940749444451344,0.021696034864006963,1.0,0.2884088371549514,0.2981482935647978,0.05468369813164187,-0.20318909016071468,,0.16784564826061282,0.08813435371548468,-0.06804828391628394,0.18602484648007864,-0.056654709061423,0.004264841592841619,0.02353846047841049
MixAndNeg,-0.07843967254838256,0.08157096142438004,0.0649137358191246,-0.2895239487677455,0.14348409392572029,0.2884088371549514,1.0,0.4681554444803838,-0.259120661372815,-0.2753142731011284,,0.10636379898257657,0.3341078198079069,0.023955502520397697,0.29105419621575107,-0.16655253374041062,0.11969528725046577,-0.1757620649151972
MixAndNeu,-0.1351171590812393,-0.09687154305583294,-0.059504488236619836,0.08208021008744676,-0.1748482700462383,0.2981482935647978,0.4681554444803838,1.0,0.15045073505740716,-0.09695211061027224,,0.057260638237980006,0.10334434394976119,-0.06150471054273829,7.202611823552149e-06,0.07410702047011243,-0.01674938012030325,0.11435263720572236
NeuAndPos,-0.290674467314799,-0.3690126923501151,-0.034259280155680465,0.4897348311719532,-0.33884105990959174,0.05468369813164187,-0.259120661372815,0.15045073505740716,1.0,0.1325255695128164,,-0.022766106268473404,-0.2055779454024213,-0.26475598551704205,-0.1616657085304292,0.07304382501720434,-0.046640285464382605,0.06068812412680953
NeuAndNeg,0.5001473602783282,-0.7321526464347032,-0.12362760172214746,0.41247130279866284,-0.24539520049638,-0.20318909016071468,-0.2753142731011284,-0.09695211061027224,0.1325255695128164,1.0,,-0.013373828696757458,-0.0950790581537657,-0.22983599313440556,-0.24618059662258984,-0.0036974494515216176,-0.10480383682709614,0.06673217611046316
