fbd681e79ebca2cd9509218403f23ec6,f8708568eff1535c85247b28dc126f9b,f49956142aab2ad74decfd49a103c2f1,f358b75c71d85c91ec0452c6114e3b15,ec3dc451b8a811f05ace158a0d76e32e,eaeabcfe25866f0455d349bae2450d88,e9970fe8848e9505b52d414d81611de8,e076953cd3fcf8927b8f21574c0890f3,dcbe08425f5edef5e5c1053f21e83640,db7f1b0130b2138e13b7bbca9cc63823,d5380466e18422d7b2c2d54d57cbbde2,cfb021cfbff46ffdb75c7dcafe7c2087,cea00424ced413c108d878b1a14f3316,cd86d1e6d68c3770eaec0db419dceb2f,c70b15854118907c8f0a234e2ba44bbc,c0289bdb4cd4eda90653b2c84af61e03,b6f1257ff213585723c66e253d2b92f7,b5efdb17945bc5ac2504e6c0c70f41b1,b15cf300b5693210682e36cfe5f9789b,b121d90e407cd597da17491f36e7b2c5,aed86a3085a364f5484679649f064467,a8b2c778af65ca2c46306554f338cacb,a7a3af125074cb806a200f51ea7e10bf,a504bfd98bdc8e7a61edcfe8c4e2a801,968157017daec34ee86050fe9bd72293,9138a4af7fa7a5c5bf363d867ff6c56c,8ff6192bbbb717c36097b33e244d91de,8c393982479748c5a53acaa7a3717c71,8b6ceafaf2ea6bd34f26ff463156363c,8a1c6e4eb35abbf1ae252628fca46cdb,87ab3ba2cf5dd6ef4f4807a754dd968b,83b42f70e17daecbc41b785c2b9ce869,82e932005d8c94bb93bcb54fa19f421c,7e450a79b8bacd420727a5dd9305f8d8,748b929276449add1cb3bb5985e85fa1,7175a46eaf9d0a6e00c562bfaa614360,6665bcd5e5324938fdbb5ea467fb5e3f,66495ec54feb9e2399db05a67a80f2c6,64463aa93c9145fa0724a9e89ea7be2a,6262f9ea246e00408561aa9a73c49175,61e7f6145fd03d709cabbde3faf33412,5fcf46eb6809a240af3ab9bcb4f2b92f,5f86969fe97dd82aba8a683fe7ce6460,5cc136477bfe3fcfe809dc451e4243ef,5c31d7d80e78643cd5289acec0561d77,5b1eb32579450829ec8faab4d3472ffb,57118d9a71e91b6568471ffbd7077415,55a72284594fdda49b22a6610b9b91d6,4d7ae0617845c6b30eb85b55a991f4c5,49fb9fce8f4dc022318b8cd432aad8b6,4908adae6cf09defb838925defcc5e61,4764518d32334248e6ebbf681a18fd0c,41ef345410ba421410cb4d09c331aec3,4104c0b8700d519d1661c8a59b065363,3e6f69fc89da71e8237c717ac218677b,3ac58ad39d81acfe169aadc4815effe6,39b2af957c2488970cb89c161b6bf94e,30723e9e5ecfe6d20e5e67d1163e3965,2fba0f9dccc84f3516d8b553426af527,2dca898dfbdae6716a587adbfd99c542,2a9b90b41e9399bb331fef2582f657c3,29cda473b52e1c75fbfe958ed3aec565,2549774d68d7ccbcba069afb45c7e237,23cbbe03a89344129e1a6d8419a66d23,1e84bfe1c9bbd549913aad1bc57c8878,1c1a61d11a10f9fa967f250095792db3,193165601dfad67e79ef52b2caf9fd9e,1789589a6d2bba0f09d768f8f3445be5,0e3fdb89c7706b13891170ab2a9017c7,0c5d06511ef79fba34da417e8c751fff,0b12516100c16f779b152858619786ff,088bf0ed841bcc366475b3975eb1b9d2,0724fe854bd455061ba84efecdeff469,009d96a823b6f6c085c092fb177491f6
4,22,5,3,7,1,0,1,0,4,4,6,2,15,4,16,4,12,7,4,0,2,0,14,2,0,9,10,4,1,8,2,10,7,2,4,2,0,1,0,6,5,0,6,4,0,0,12,4,4,9,14,2,4,6,12,16,1,13,9,59,0,5,1,1,2,3,11,1,3,8,5,6,9
14,56,11,16,0,16,11,8,7,9,8,6,9,14,30,70,3,9,10,5,15,20,24,10,16,14,7,56,14,0,0,17,59,11,13,11,9,23,9,86,16,7,26,7,2,2,8,14,8,16,37,16,12,3,3,8,35,18,10,8,29,13,5,20,11,13,8,6,17,11,23,6,9,10
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,3,0,2,0,3,1,2,2,1,10,3,4,1,1,6,1,2,0,3,2,0,3,6,0,8,1,0,7,5,3,18,0,2,3,0,0,0,2,2,5,1,13,1,1,2,5,0,0,9,4,2,6,0,3,2,14,0,4,6,3,5,2,2,3,0,3,1,1,0,1,3,1
11,36,10,10,2,14,7,9,7,8,5,8,6,22,15,47,6,18,10,8,10,15,0,22,17,5,20,45,2,4,1,6,33,16,15,8,8,4,8,8,18,10,13,14,4,4,6,8,11,9,22,25,3,9,6,13,52,9,12,10,63,2,15,7,4,6,5,9,8,11,23,12,17,10
0,4,0,1,0,2,1,2,0,0,2,1,0,1,1,3,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,1,0,1,1,2,1,0,2,0,1,2,0,3,1,0,3,1,0,1,0,0,6,1,1,2,3,1,0,2,0,0,0,0,1,1,0,0,1,2
0,2,0,1,0,0,1,0,0,0,1,1,0,2,3,1,0,1,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,2,0,1,0,1,3,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,4,0,2,0,4,2,2,0,1,1,3,1,2,1,0,0,1,0
0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,2,0,0,0,0,1,0,0,0,0,1,0,3,2,0,0,1,0,1,0,0,2,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0
7,20,9,5,2,7,3,11,9,9,6,16,10,12,2,8,4,5,9,1,6,4,2,5,14,2,12,17,2,6,3,8,25,7,2,12,2,0,0,11,5,11,10,14,3,6,2,10,5,0,17,12,5,9,1,10,12,31,5,9,12,9,11,3,9,6,0,5,5,3,5,10,3,9
1,16,10,1,10,5,1,7,2,12,4,11,2,21,0,2,3,5,3,3,2,3,0,8,4,0,22,11,2,7,12,3,13,6,10,4,2,0,0,1,3,5,4,14,4,2,2,16,5,0,12,20,9,6,5,12,12,9,4,6,28,0,13,1,4,3,1,14,0,1,1,6,8,5
