,emptyTran,negaTran,posiTran,mixTran,neuTran,PosAndNeg,MixAndPos,MixAndNeg,MixAndNeu,NeuAndPos,NeuAndNeg,EmptyAndPos,EmptyAndNeg,EmptyAndMix,EmptyAndNeu,allPosts,ope,con,ext,agr,neu,swl,CESD_sum
emptyTran,1.0,-0.5014092122249832,-0.45122321375459534,-0.3101711661433273,-0.3501134968652201,-0.710653007098516,-0.40932382659679606,-0.36241122037494783,-0.44760963808763865,-0.5717354931750279,-0.5474057435926244,0.2517847620537583,0.2849622782125412,0.23523526687459298,0.1202997998960551,,0.09123481495745804,-0.056707817393379045,0.04192085669218865,0.14109315372245823,-0.07404181514570889,0.03579368394704191,-0.040191848486070804
negaTran,-0.5014092122249832,1.0,0.12745873377179012,0.05570045703619199,0.25637643995670334,0.562999247791382,0.02912455779725775,0.3023747577592416,0.18163943065031535,0.06685470406311496,0.5801816900406584,-0.5407501578211723,-0.09005001512920002,-0.2927684333087574,-0.20199531729249068,,-0.16547360210294218,0.013530284881662915,-0.1199158293489424,-0.3691437828100733,0.19142038296157954,-0.09970337414630967,0.18688742752822896
posiTran,-0.45122321375459534,0.12745873377179012,1.0,0.1818291912991789,-0.18198537586626512,0.5733652096432215,0.2337306727330375,0.1019935962514125,-0.11447006364806153,0.02166578525886701,-0.15449271023695507,0.008214928504963312,-0.4989654826370674,-0.2923181779245211,-0.4684014698119447,,-0.1734983454606685,0.0899110971097417,0.15715666522834018,0.0289353860999629,0.18073518631306995,-0.13077298763641887,0.08245966830717925
mixTran,-0.3101711661433273,0.05570045703619199,0.1818291912991789,1.0,0.04554059068967963,0.17927921753624212,0.6850564702941151,0.6718078659858774,0.3404098555228445,0.12133155698282383,0.16499625976271073,-0.28088556792507874,-0.28625940985421494,-0.07640446092870315,-0.19455668836051346,,-0.15776461558143726,-0.09454986124211673,-0.09715477870757656,0.021697506888957708,0.17529290478389864,-0.09895019034075173,0.08584623868891174
neuTran,-0.3501134968652201,0.25637643995670334,-0.18198537586626512,0.04554059068967963,1.0,0.15139278074480492,-0.04538272163836317,-0.08224470113531478,0.43847429251654724,0.5541895698867766,0.47512167846682657,-0.48302485924961264,-0.17545028657183492,-0.255157218949252,0.24156239420702919,,-0.05166490329833609,-0.1547496783709849,-0.19338127370465147,-0.15016859418214928,-0.03151630411671341,0.059944178748984715,0.0011831289974783806
PosAndNeg,-0.710653007098516,0.562999247791382,0.5733652096432215,0.17927921753624212,0.15139278074480492,1.0,0.17197466250656776,0.19261255833329227,0.09480277982816702,0.25038406633515997,0.2833423233618485,-0.3485730906137227,-0.31685001396463225,-0.3804354031734572,-0.36072990827263296,,-0.13832569431985586,0.10550167132615397,-0.05834353898957937,-0.22093836083095358,0.22839883638304906,-0.02597998615700564,0.0401786969794938
MixAndPos,-0.40932382659679606,0.02912455779725775,0.2337306727330375,0.6850564702941151,-0.04538272163836317,0.17197466250656776,1.0,0.600906030692828,0.32444038514314383,0.1325302271205723,0.1101602223457765,-0.1617500373577672,-0.29265780149151266,0.054059718390124405,-0.09651325308808281,,-0.0718562019216433,-0.001037817822514582,-0.027523507386167732,0.07765007119886268,0.10732381056447003,0.022923164296574657,0.15018524846817224
MixAndNeg,-0.36241122037494783,0.3023747577592416,0.1019935962514125,0.6718078659858774,-0.08224470113531478,0.19261255833329227,0.600906030692828,1.0,0.3920639955193964,0.05869815497355071,0.3119906324753405,-0.3410169515668281,-0.2813071992145899,0.08314458616482025,-0.14066212694182245,,-0.07654522116467465,-0.007442973871551208,-0.12295679279508262,0.043708957581024416,0.03878068840349424,-0.05229295835293024,0.06939378859244852
MixAndNeu,-0.44760963808763865,0.18163943065031535,-0.11447006364806153,0.3404098555228445,0.43847429251654724,0.09480277982816702,0.32444038514314383,0.3920639955193964,1.0,0.41806317132944737,0.44175937949881877,-0.3113014185349449,-0.22893391704656618,-0.003444890791762128,0.10528888714447214,,0.11153826008045414,-0.1416397350040334,-0.08864186222556449,0.040371275687063966,0.01841236232909707,-0.039882069599347814,0.027356748003403146
NeuAndPos,-0.5717354931750279,0.06685470406311496,0.02166578525886701,0.12133155698282383,0.5541895698867766,0.25038406633515997,0.1325302271205723,0.05869815497355071,0.41806317132944737,1.0,0.3238122710201255,-0.27759493155853715,-0.12440595985654998,-0.1624244433486661,0.029747503738511476,,0.007197951908458319,-0.07401383823618042,-0.09367570356997884,-0.03595678701716452,0.05197710538926646,0.020190018382694956,-0.06462292448537174
