,NegativePosts,PositivePosts,NeutralPosts,MixedPosts,EmptyPosts,ope,con,ext,agr,neu,swl,CESD_sum
NegativePosts,1.0,0.6361931640521221,0.6150618212242625,0.49236154105460855,-0.7938275170912391,-0.16084324280754594,-0.025173261105247837,-0.13943929529515442,-0.26264893082012886,0.1845146922740133,-0.09940339728942617,0.1595960499998665
PositivePosts,0.6361931640521221,1.0,0.30010609079528705,0.4946243385085206,-0.8177264726702361,-0.16412977698722303,0.03140964113983158,0.07882664044346911,-0.017945806408681066,0.16963161754934256,-0.06854690826344836,0.05386808494371729
NeutralPosts,0.6150618212242625,0.30010609079528705,1.0,0.39666605996623716,-0.6637758629787149,-0.04951979994474656,-0.1767778813832306,-0.20228499884677342,-0.15031658248009694,0.030953190536623723,-0.03809375722909407,0.053832939379495716
MixedPosts,0.49236154105460855,0.4946243385085206,0.39666605996623716,1.0,-0.5622849910548722,-0.10985628909856732,-0.0912394817340541,-0.10210075933371182,0.055478615931695494,0.14893156310325956,-0.1460576566728378,0.14809579380804327
EmptyPosts,-0.7938275170912391,-0.8177264726702361,-0.6637758629787149,-0.5622849910548722,1.0,0.15873527780020522,-0.01496378013090682,0.061271439945186905,0.13623231955483267,-0.16057732451089335,0.055726481007971625,-0.08164342014776314
ope,-0.16084324280754594,-0.16412977698722303,-0.04951979994474656,-0.10985628909856732,0.15873527780020522,1.0,-0.08561975776733739,0.2940091893041044,0.037678859094503726,-0.19309013981031098,-0.06982202331515071,-0.19616926020013933
con,-0.025173261105247837,0.03140964113983158,-0.1767778813832306,-0.0912394817340541,-0.01496378013090682,-0.08561975776733739,1.0,0.18750293290496814,0.14791480527838802,-0.3618951315750229,0.4097620139982851,-0.39302728114012425
ext,-0.13943929529515442,0.07882664044346911,-0.20228499884677342,-0.10210075933371182,0.061271439945186905,0.2940091893041044,0.18750293290496814,1.0,0.22441234542575833,-0.3378899802749836,0.2099759061215008,-0.34236559774747544
agr,-0.26264893082012886,-0.017945806408681066,-0.15031658248009694,0.055478615931695494,0.13623231955483267,0.037678859094503726,0.14791480527838802,0.22441234542575833,1.0,-0.28776066707561776,0.23352435856144396,-0.20886467861119706
neu,0.1845146922740133,0.16963161754934256,0.030953190536623723,0.14893156310325956,-0.16057732451089335,-0.19309013981031098,-0.3618951315750229,-0.3378899802749836,-0.28776066707561776,1.0,-0.4062824694454472,0.604650870695537
swl,-0.09940339728942617,-0.06854690826344836,-0.03809375722909407,-0.1460576566728378,0.055726481007971625,-0.06982202331515071,0.4097620139982851,0.2099759061215008,0.23352435856144396,-0.4062824694454472,1.0,-0.48102262106941485
CESD_sum,0.1595960499998665,0.05386808494371729,0.053832939379495716,0.14809579380804327,-0.08164342014776314,-0.19616926020013933,-0.39302728114012425,-0.34236559774747544,-0.20886467861119706,0.604650870695537,-0.48102262106941485,1.0
