,negaTran,posiTran,mixTran,neuTran,PosAndNeg,MixAndPos,MixAndNeg,MixAndNeu,NeuAndPos,NeuAndNeg,allPosts,ope,con,ext,agr,neu,swl,CESD_sum
negaTran,1.0,-0.36324018722440654,-0.10682774159078687,-0.040870671442431665,0.04486462421102957,-0.3449025413248517,0.1675843945528752,-0.05156392534121046,-0.40343007566038147,0.36684083663354883,,-0.13366270705125113,-0.028832299395135104,-0.030042806867363565,-0.2772173935068865,0.1255903781020062,-0.01858571733542428,0.09866615631667312
posiTran,-0.36324018722440654,1.0,-0.056255321452497384,-0.4922282435862041,0.14385008238206975,0.01056775216088857,-0.27304692115919144,-0.47196269324855855,-0.25320224928851487,-0.6626358458967337,,-0.0873910156910151,0.15284090677551282,0.2788239444111027,0.19942034543579384,0.020213552777033596,-0.09856574815254443,-0.0010696450829116683
mixTran,-0.10682774159078687,-0.056255321452497384,1.0,-0.14251688008136018,-0.06858863492221398,0.4294279490573116,0.341486601248462,0.06066557390485962,-0.1731140337240745,-0.10730275629254554,,-0.08468803993861133,-0.04326414909018356,0.044863880342689816,0.044695504906139376,0.09257985131745732,-0.03861376517605772,0.033308246976676247
neuTran,-0.040870671442431665,-0.4922282435862041,-0.14251688008136018,1.0,-0.35753728601152,-0.26976387690485487,-0.23455286556901978,0.2194797177719534,0.3071838153268016,0.42562003650275193,,0.005562995741037554,-0.2102448841664907,-0.19605585705741543,-0.18317175619991563,-0.03076169022460922,0.08402533807860073,0.015818029807385364
PosAndNeg,0.04486462421102957,0.14385008238206975,-0.06858863492221398,-0.35753728601152,1.0,-0.17529460230812985,-0.29698636792898564,-0.4311426127823074,-0.22533384599058787,-0.382119413174591,,-0.047983215065651556,0.06251906615207808,0.015729537470879917,-0.07404236507674813,0.15266247940904723,0.026569800329866777,-0.029034264633632307
MixAndPos,-0.3449025413248517,0.01056775216088857,0.4294279490573116,-0.26976387690485487,-0.17529460230812985,1.0,0.4549090228503985,0.21156975781328088,-0.10197918319141301,-0.2604025604751444,,0.0519426843756127,0.12999551555918845,0.12270897259187957,0.2302592293175419,-0.13966525686540468,0.0987464631865553,-0.056901857869448354
MixAndNeg,0.1675843945528752,-0.27304692115919144,0.341486601248462,-0.23455286556901978,-0.29698636792898564,0.4549090228503985,1.0,0.37845896477398977,-0.2528878232025537,0.053103419053478165,,0.016855368491530572,0.10480946299604986,-0.057743754232486025,0.25485812687854614,-0.11381390054684866,0.09041358305572171,-0.13691871806924252
MixAndNeu,-0.05156392534121046,-0.47196269324855855,0.06066557390485962,0.2194797177719534,-0.4311426127823074,0.21156975781328088,0.37845896477398977,1.0,0.19201409110522905,0.22450404554532075,,0.14500686367949087,-0.09083269293265257,-0.11660323910045814,0.11229925054087488,-0.08475937388119738,-0.024080544844032346,0.02326292441338757
NeuAndPos,-0.40343007566038147,-0.25320224928851487,-0.1731140337240745,0.3071838153268016,-0.22533384599058787,-0.10197918319141301,-0.2528878232025537,0.19201409110522905,1.0,-0.016014881989639535,,0.07449142944439302,-0.142416585910093,-0.15267142399218142,0.03285516502802422,0.01977683181600565,0.08686093038316144,-0.08634376539112591
NeuAndNeg,0.36684083663354883,-0.6626358458967337,-0.10730275629254554,0.42562003650275193,-0.382119413174591,-0.2604025604751444,0.053103419053478165,0.22450404554532075,-0.016014881989639535,1.0,,0.1481846857553021,-0.10573679572037543,-0.19137095601261322,-0.26984613523845113,-0.12040803684993548,-0.07461871863593629,0.11297187291796239
allPosts,,,,,,,,,,,,,,,,,,
