,emptyTran,negaTran,posiTran,mixTran,neuTran,PosAndNeg,MixAndPos,MixAndNeg
ope,0.13,-0.15,-0.15,-0.05,-0.02,-0.08,-0.08,-0.13
con,-0.04,-0.02,0.19,0.04,-0.01,0.01,-0.09,-0.04
ext,0.03,-0.09,0.27,-0.01,-0.11,0.04,0.17,-0.10
agr,0.10,-0.23,0.15,-0.07,0.06,-0.11,0.07,-0.07
neu,-0.09,0.15,0.02,0.19,-0.16,0.21,0.10,0.11
swl,0.00,-0.08,0.00,-0.08,0.23,-0.02,-0.01,-0.10
CESD,-0.05,0.09,-0.04,0.09,-0.18,0.03,0.17,0.08
,,,,,,,,
,MixAndNeu,NeuAndPos,NeuAndNeg,EmptyAndPos,EmptyAndNeg,EmptyAndMix,EmptyAndNeu,
ope,-0.08,-0.03,-0.01,0.09,-0.01,0.20,0.14,
con,-0.15,-0.21,-0.10,0.09,0.10,0.08,-0.05,
ext,0.02,-0.25,-0.24,0.17,-0.08,0.05,-0.14,
agr,0.11,-0.09,-0.19,0.20,-0.08,0.28,-0.09,
neu,-0.01,0.13,0.08,-0.13,-0.13,-0.28,-0.05,
swl,0.04,-0.06,-0.06,0.02,0.11,0.08,0.08,
CESD,0.08,0.02,0.20,-0.16,0.02,-0.19,0.03,
