mood,emptyTran,negaTran,posiTran,mixTran,neuTran,PosAndNeg,MixAndPos,MixAndNeg,MixAndNeu,NeuAndPos,NeuAndNeg,EmptyAndPos,EmptyAndNeg,EmptyAndMix,EmptyAndNeu
median,0.27,0.03,0.03,0,0,0.05,0.02,0,0,0.02,0.03,0.15,0.13,0.03,0.07
std,0.17,0.11,0.06,0.01,0.02,0.07,0.03,0.05,0.02,0.03,0.03,0.09,0.08,0.03,0.05
25%,0.15,0.02,0,0,0,0.03,0,0,0,0,0,0.08,0.08,0,0.03
75%,0.41,0.07,0.07,0,0.02,0.1,0.03,0.03,0.02,0.06,0.05,0.2,0.19,0.05,0.1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
mood,median,std,0.25,0.75,,,,,,,,,,,
emptyTran,0.27,0.17,0.15,0.41,,,,,,,,,,,
negaTran,0.03,0.11,0.02,0.07,,,,,,,,,,,
posiTran,0.03,0.06,0,0.07,,,,,,,,,,,
mixTran,0,0.01,0,0,,,,,,,,,,,
neuTran,0,0.02,0,0.02,,,,,,,,,,,
PosAndNeg,0.05,0.07,0.03,0.1,,,,,,,,,,,
MixAndPos,0.02,0.03,0,0.03,,,,,,,,,,,
MixAndNeg,0,0.05,0,0.03,,,,,,,,,,,
MixAndNeu,0,0.02,0,0.02,,,,,,,,,,,
NeuAndPos,0.02,0.03,0,0.06,,,,,,,,,,,
NeuAndNeg,0.03,0.03,0,0.05,,,,,,,,,,,
EmptyAndPos,0.15,0.09,0.08,0.2,,,,,,,,,,,
EmptyAndNeg,0.13,0.08,0.08,0.19,,,,,,,,,,,
EmptyAndMix,0.03,0.03,0,0.05,,,,,,,,,,,
EmptyAndNeu,0.07,0.05,0.03,0.1,,,,,,,,,,,
#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,
#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,
#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,
#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,
#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,
