,emptyTran,negaTran,posiTran,mixTran,neuTran,PosAndNeg,MixAndPos,MixAndNeg
ope,0.10,-0.15,-0.18,-0.16,0.00,-0.02,0.05,0.02
con,-0.03,0.03,-0.01,0.05,-0.16,0.04,-0.12,0.23
ext,0.02,-0.13,0.22,-0.07,-0.09,-0.13,0.00,-0.07
agr,0.12,-0.36,0.06,0.13,-0.16,-0.19,0.06,0.19
neu,-0.08,0.16,0.14,0.07,-0.05,0.19,0.12,-0.03
swl,0.01,-0.15,0.01,0.07,0.03,-0.05,0.00,-0.02
CESD_sum,-0.06,0.19,0.09,0.08,-0.08,0.05,0.11,0.01
,MixAndNeu,NeuAndPos,NeuAndNeg,EmptyAndPos,EmptyAndNeg,EmptyAndMix,EmptyAndNeu,
ope,0.06,-0.08,-0.05,0.17,0.01,0.11,-0.02,
con,-0.08,-0.17,-0.03,0.14,-0.03,0.25,-0.06,
ext,-0.06,-0.16,-0.20,0.24,-0.21,-0.02,-0.09,
agr,-0.07,-0.15,-0.29,0.30,0.04,0.21,-0.18,
neu,0.05,0.09,0.06,-0.29,0.00,-0.04,-0.11,
swl,0.04,-0.06,-0.15,0.13,0.09,-0.02,0.08,
CESD_sum,0.08,0.06,0.07,-0.19,0.04,-0.03,-0.11,
