,emptyTran,negaTran,posiTran,mixTran,neuTran,PosAndNeg,MixAndPos,MixAndNeg
ope,0.10,-0.14,-0.20,-0.18,-0.04,-0.13,-0.09,-0.05
con,-0.03,0.05,0.05,-0.09,-0.15,0.07,-0.04,-0.01
ext,0.02,-0.10,0.16,-0.08,-0.15,-0.05,0.04,-0.08
agr,0.13,-0.36,0.02,0.03,-0.17,-0.22,0.04,0.02
neu,-0.08,0.17,0.19,0.18,-0.03,0.23,0.11,0.02
swl,0.01,-0.10,-0.11,-0.08,0.04,-0.03,0.04,-0.06
CESD_sum,-0.06,0.15,0.12,0.10,-0.01,0.05,0.17,0.05
,,,,,,,,
,,,,,,,,
,MixAndNeu,NeuAndPos,NeuAndNeg,EmptyAndPos,EmptyAndNeg,EmptyAndMix,EmptyAndNeu,
ope,0.11,-0.01,0.05,0.12,0.01,0.15,0.05,
con,-0.15,-0.11,-0.07,0.16,0.01,0.17,-0.12,
ext,-0.04,-0.06,-0.16,0.21,-0.07,0.03,-0.15,
agr,0.01,-0.05,-0.25,0.27,-0.02,0.29,-0.14,
neu,0.02,0.06,-0.05,-0.20,-0.04,-0.26,-0.14,
swl,-0.05,0.03,-0.10,0.05,0.16,0.01,0.16,
CESD_sum,0.04,-0.02,0.10,-0.17,-0.02,-0.16,-0.05,
