,userid,text,id,negative_ny,time,time_diff
4085,fbd681e79ebca2cd9509218403f23ec6,"Mirfie's coming home tomorrow!! TOORAY, TOORAY!",4103,2,2010-12-18,59
4083,fbd681e79ebca2cd9509218403f23ec6,Happy birthday Giancarlo!!!!!!!,4105,2,2010-12-20,57
4084,fbd681e79ebca2cd9509218403f23ec6,"I want a Christmas tree, I want a Christmas tree, goofy doofy goofy doof, I want a Christmas tree.",4106,2,2010-12-20,57
4082,fbd681e79ebca2cd9509218403f23ec6,SHOOTAH!,4107,2,2010-12-22,55
4081,fbd681e79ebca2cd9509218403f23ec6,"(oh, you're making me live) ... Oh, you're the first one when things turn out bad, you know I'll never be lonely, you're my only one and I love the things, I really love the things that you do. Oh, you're my best friend.",276,2,2010-12-23,54
4080,fbd681e79ebca2cd9509218403f23ec6,?? ? /My ears like to talk,4110,4,2010-12-24,53
4079,fbd681e79ebca2cd9509218403f23ec6,DIVINE LITURGY THIS SUNDAY!!!!! YES YES YES YES YES YES YES!!!,4109,2,2010-12-24,53
4078,fbd681e79ebca2cd9509218403f23ec6,keeps stealing her little brother's presents...,4111,4,2010-12-25,52
4077,fbd681e79ebca2cd9509218403f23ec6,IT'S SNOWING!!!!!!! Finally!,4112,2,2010-12-26,51
4076,fbd681e79ebca2cd9509218403f23ec6,had a furious battle with a 6-foot snowdrift for her brother... AND WON!,4113,2,2010-12-27,50
4074,fbd681e79ebca2cd9509218403f23ec6,"I thought that I heard you laughing, I thought that I heard you sing. I think I thought I saw you try. But that was just a dream..",4114,4,2010-12-30,47
4075,fbd681e79ebca2cd9509218403f23ec6,"is 13 years, 6 months, one day, 6 hours, and 5 minutes.",4115,2,2010-12-30,47
4073,fbd681e79ebca2cd9509218403f23ec6,won't be on the computer until next year.,4116,2,2010-12-31,46
4072,fbd681e79ebca2cd9509218403f23ec6,"Our lives are made in these small hours, these little wonders...",4089,2,2011-01-03,43
4070,fbd681e79ebca2cd9509218403f23ec6,"BANANA, PESTO, AND STUPIDITY! BWAHAHAHAHAHAAAAAA!",4093,2,2011-01-06,40
4071,fbd681e79ebca2cd9509218403f23ec6,EIGHT-SIX-SEVEN-FIVE-THREE-OH-NINE!,4094,2,2011-01-06,40
